Year;Month;Decimal Year;Figure Reference;Sea_Area;Monthly_Average_Sea_Surface_Temperature_degrees_C;Latitude;Longitude
1997;9;1997.67;Figure 4.12;Minches and Malin Sea;14.02;57.03259;-6.552797
1997;10;1997.75;Figure 4.12;Minches and Malin Sea;13.47;57.03259;-6.552797
1997;11;1997.83;Figure 4.12;Minches and Malin Sea;12.35;57.03259;-6.552797
1997;12;1997.92;Figure 4.12;Minches and Malin Sea;10.88;57.03259;-6.552797
1998;1;1998;Figure 4.12;Minches and Malin Sea;9.65;57.03259;-6.552797
1998;2;1998.08;Figure 4.12;Minches and Malin Sea;9.08;57.03259;-6.552797
1998;3;1998.17;Figure 4.12;Minches and Malin Sea;8.86;57.03259;-6.552797
1998;4;1998.25;Figure 4.12;Minches and Malin Sea;8.84;57.03259;-6.552797
1998;5;1998.33;Figure 4.12;Minches and Malin Sea;10.35;57.03259;-6.552797
1998;6;1998.42;Figure 4.12;Minches and Malin Sea;11.6;57.03259;-6.552797
1998;7;1998.5;Figure 4.12;Minches and Malin Sea;13.08;57.03259;-6.552797
1998;8;1998.58;Figure 4.12;Minches and Malin Sea;13.73;57.03259;-6.552797
1998;9;1998.67;Figure 4.12;Minches and Malin Sea;14.06;57.03259;-6.552797
1998;10;1998.75;Figure 4.12;Minches and Malin Sea;12.65;57.03259;-6.552797
1998;11;1998.83;Figure 4.12;Minches and Malin Sea;10.9;57.03259;-6.552797
1998;12;1998.92;Figure 4.12;Minches and Malin Sea;9.72;57.03259;-6.552797
1999;1;1999;Figure 4.12;Minches and Malin Sea;8.64;57.03259;-6.552797
1999;2;1999.08;Figure 4.12;Minches and Malin Sea;7.96;57.03259;-6.552797
1999;3;1999.17;Figure 4.12;Minches and Malin Sea;7.84;57.03259;-6.552797
1999;4;1999.25;Figure 4.12;Minches and Malin Sea;8.69;57.03259;-6.552797
1999;5;1999.33;Figure 4.12;Minches and Malin Sea;10.19;57.03259;-6.552797
1999;6;1999.42;Figure 4.12;Minches and Malin Sea;11.29;57.03259;-6.552797
1999;7;1999.5;Figure 4.12;Minches and Malin Sea;13.7;57.03259;-6.552797
1999;8;1999.58;Figure 4.12;Minches and Malin Sea;14.61;57.03259;-6.552797
1999;9;1999.67;Figure 4.12;Minches and Malin Sea;13.96;57.03259;-6.552797
1999;10;1999.75;Figure 4.12;Minches and Malin Sea;13.14;57.03259;-6.552797
1999;11;1999.83;Figure 4.12;Minches and Malin Sea;11.8;57.03259;-6.552797
1999;12;1999.92;Figure 4.12;Minches and Malin Sea;9.72;57.03259;-6.552797
2000;1;2000;Figure 4.12;Minches and Malin Sea;8.47;57.03259;-6.552797
2000;2;2000.08;Figure 4.12;Minches and Malin Sea;8.09;57.03259;-6.552797
2000;3;2000.17;Figure 4.12;Minches and Malin Sea;8.22;57.03259;-6.552797
2000;4;2000.25;Figure 4.12;Minches and Malin Sea;8.3;57.03259;-6.552797
2000;5;2000.33;Figure 4.12;Minches and Malin Sea;10.23;57.03259;-6.552797
2000;6;2000.42;Figure 4.12;Minches and Malin Sea;11.24;57.03259;-6.552797
2000;7;2000.5;Figure 4.12;Minches and Malin Sea;13.01;57.03259;-6.552797
2000;8;2000.58;Figure 4.12;Minches and Malin Sea;14.89;57.03259;-6.552797
2000;9;2000.67;Figure 4.12;Minches and Malin Sea;14.46;57.03259;-6.552797
2000;10;2000.75;Figure 4.12;Minches and Malin Sea;12.88;57.03259;-6.552797
2000;11;2000.83;Figure 4.12;Minches and Malin Sea;10.91;57.03259;-6.552797
2000;12;2000.92;Figure 4.12;Minches and Malin Sea;10.16;57.03259;-6.552797
2001;1;2001;Figure 4.12;Minches and Malin Sea;8.9;57.03259;-6.552797
2001;2;2001.08;Figure 4.12;Minches and Malin Sea;7.66;57.03259;-6.552797
2001;3;2001.17;Figure 4.12;Minches and Malin Sea;7.41;57.03259;-6.552797
2001;4;2001.25;Figure 4.12;Minches and Malin Sea;7.89;57.03259;-6.552797
2001;5;2001.33;Figure 4.12;Minches and Malin Sea;10.11;57.03259;-6.552797
2001;6;2001.42;Figure 4.12;Minches and Malin Sea;11.38;57.03259;-6.552797
2001;7;2001.5;Figure 4.12;Minches and Malin Sea;13.16;57.03259;-6.552797
2001;8;2001.58;Figure 4.12;Minches and Malin Sea;14.3;57.03259;-6.552797
2001;9;2001.67;Figure 4.12;Minches and Malin Sea;13.82;57.03259;-6.552797
2001;10;2001.75;Figure 4.12;Minches and Malin Sea;13.32;57.03259;-6.552797
